"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"af","Africa","afago","Angola","ago",6591513
"af","Africa","afbdi","Burundi","bdi",1396847
"af","Africa","afben","Benin","ben",1335842
"af","Africa","afbfa","Burkina Faso","bfa",861305
"af","Africa","afbwa","Botswana","bwa",43837396
"af","Africa","afcaf","Central African Republic","caf",1760416
"af","Africa","afciv","Cote d'Ivoire","civ",8104065
"af","Africa","afcmr","Cameroon","cmr",1084062
"af","Africa","afcod","Democratic Republic of the Congo","cod",18484334
"af","Africa","afcog","Republic of the Congo","cog",2666390
"af","Africa","afcom","Comoros","com",353641
"af","Africa","afcpv","Cape Verde","cpv",486788
"af","Africa","afdji","Djibouti","dji",278956303
"af","Africa","afdza","Algeria","dza",11501848
"af","Africa","afegy","Egypt","egy",159822566
"af","Africa","aferi","Eritrea","eri",12779476
"af","Africa","afeth","Ethiopia","eth",84449941
"af","Africa","afgab","Gabon","gab",3303171.9999999995
"af","Africa","afgha","Ghana","gha",27324972
"af","Africa","afgin","Guinea","gin",4716600
"af","Africa","afgmb","Gambia","gmb",4789002
"af","Africa","afgnb","Guinea-Bissau","gnb",301621
"af","Africa","afgnq","Equatorial Guinea","gnq",365755
"af","Africa","afken","Kenya","ken",13374527
"af","Africa","aflbr","Liberia","lbr",2997070
"af","Africa","aflby","Libya","lby",157917078
"af","Africa","aflso","Lesotho","lso",12390123
"af","Africa","afmar","Morocco","mar",43918260
"af","Africa","afmdg","Madagascar","mdg",11645625
"af","Africa","afmli","Mali","mli",7458591
"af","Africa","afmoz","Mozambique","moz",37832630
"af","Africa","afmrt","Mauritania","mrt",1348467
"af","Africa","afmus","Mauritius","mus",16116341
"af","Africa","afmwi","Malawi","mwi",1169723
"af","Africa","afnam","Namibia","nam",46016589.99999999
"af","Africa","afner","Niger","ner",1551235
"af","Africa","afnga","Nigeria","nga",9366139
"af","Africa","afrwa","Rwanda","rwa",15589594
"af","Africa","afsdn","Sudan","sdn",22088684
"af","Africa","afsen","Senegal","sen",30948297
"af","Africa","afshn","Saint Helena","shn",3460
"af","Africa","afsle","Sierra Leone","sle",145709
"af","Africa","afsom","Somalia","som",15298436.999999998
"af","Africa","afssd","South Sudan","ssd",980938
"af","Africa","afstp","Sao Tome and Principe","stp",242521
"af","Africa","afswz","Eswatini","swz",3043020.9999999995
"af","Africa","afsyc","Seychelles","syc",6858643
"af","Africa","aftcd","Chad","tcd",193880
"af","Africa","aftgo","Togo","tgo",8729327
"af","Africa","aftun","Tunisia","tun",34510106
"af","Africa","aftza","Tanzania","tza",19807154
"af","Africa","afuga","Uganda","uga",366672
"af","Africa","afzaf","South Africa","zaf",294082692
"af","Africa","afzmb","Zambia","zmb",1808462
"af","Africa","afzwe","Zimbabwe","zwe",1507165
"as","Asia","asafg","Afghanistan","afg",92044004
"as","Asia","asare","United Arab Emirates","are",189591633
"as","Asia","asarm","Armenia","arm",45967947
"as","Asia","asaze","Azerbaijan","aze",68282777
"as","Asia","asbgd","Bangladesh","bgd",7518446
"as","Asia","asbhr","Bahrain","bhr",11794386
"as","Asia","asbrn","Brunei","brn",1093734
"as","Asia","asbtn","Bhutan","btn",98740
"as","Asia","aschn","China","chn",763524421
"as","Asia","ascyp","Cyprus","cyp",54660625
"as","Asia","asgeo","Georgia","geo",47566344
"as","Asia","ashkg","Hong Kong","hkg",3899854
"as","Asia","asidn","Indonesia","idn",14903746
"as","Asia","asind","India","ind",2879250838
"as","Asia","asirn","Iran","irn",133398171
"as","Asia","asirq","Iraq","irq",831636779
"as","Asia","asisr","Israel","isr",95236362
"as","Asia","asjor","Jordan","jor",94106777
"as","Asia","asjpn","Japan","jpn",40997193
"as","Asia","askaz","Kazakhstan","kaz",120490253.00000001
"as","Asia","askgz","Kyrgyzstan","kgz",62495086
"as","Asia","askhm","Cambodia","khm",1933048
"as","Asia","askor","South Korea","kor",71334341
"as","Asia","askwt","Kuwait","kwt",70899691
"as","Asia","aslao","Laos","lao",76533
"as","Asia","aslbn","Lebanon","lbn",150136108
"as","Asia","aslka","Sri Lanka","lka",3991885.0000000005
"as","Asia","asmac","Macau","mac",124871
"as","Asia","asmdv","Maldives","mdv",6030933
"as","Asia","asmmr","Burma","mmr",14838575
"as","Asia","asmng","Mongolia","mng",16513799.999999998
"as","Asia","asmys","Malaysia","mys",231051240
"as","Asia","asnpl","Nepal","npl",31069801
"as","Asia","asomn","Oman","omn",75407960
"as","Asia","aspak","Pakistan","pak",14738576
"as","Asia","asphl","Philippines","phl",22873306
"as","Asia","asprk","North Korea","prk",31601.999999999996
"as","Asia","aspse","Palestine","pse",42744047
"as","Asia","asqat","Qatar","qat",36991567
"as","Asia","assau","Saudi Arabia","sau",121177877
"as","Asia","assgp","Singapore","sgp",41540351
"as","Asia","assyr","Syria","syr",144989055
"as","Asia","astha","Thailand","tha",41309903
"as","Asia","astjk","Tajikistan","tjk",68655576
"as","Asia","astkm","Turkmenistan","tkm",1147059
"as","Asia","astls","Timor-Leste","tls",67826
"as","Asia","astur","Turkey","tur",1835424643
"as","Asia","asuzb","Uzbekistan","uzb",234256468
"as","Asia","asvnm","Vietnam","vnm",10862493
"as","Asia","asxxb","Chinese Taipei",,23731246
"as","Asia","asyem","Yemen","yem",51092739.00000001
"eu","Europe","eualb","Albania","alb",35649793
"eu","Europe","euand","Andorra","and",1862668.9999999998
"eu","Europe","euaut","Austria","aut",160677481
"eu","Europe","eubel","Belgium","bel",784400415
"eu","Europe","eubgr","Bulgaria","bgr",396694910
"eu","Europe","eubih","Bosnia and Herzegovina","bih",55166973
"eu","Europe","eublr","Belarus","blr",276325
"eu","Europe","euche","Switzerland","che",154558748
"eu","Europe","eucze","Czechia","cze",178007964
"eu","Europe","eudeu","Germany","deu",826970154
"eu","Europe","eudnk","Denmark","dnk",37297242
"eu","Europe","euesp","Spain","esp",1107811845
"eu","Europe","euest","Estonia","est",48344109.99999999
"eu","Europe","eufin","Finland","fin",3673173
"eu","Europe","eufra","France","fra",713758360
"eu","Europe","eugbr","United Kingdom","gbr",391521708
"eu","Europe","eugib","Gibraltar","gib",504918
"eu","Europe","eugrc","Greece","grc",168082624
"eu","Europe","euhrv","Croatia","hrv",131997722
"eu","Europe","euhun","Hungary","hun",161596384
"eu","Europe","euirl","Ireland","irl",41572820
"eu","Europe","euisl","Iceland","isl",1612050
"eu","Europe","euita","Italy","ita",940243030
"eu","Europe","eultu","Lithuania","ltu",101182203
"eu","Europe","eulux","Luxembourg","lux",7973078
"eu","Europe","eulva","Latvia","lva",27803199
"eu","Europe","eumda","Moldova","mda",45525630
"eu","Europe","eumkd","North Macedonia","mkd",57144330
"eu","Europe","eumlt","Malta","mlt",6419445
"eu","Europe","eumne","Montenegro","mne",24735217
"eu","Europe","eunld","Netherlands","nld",1263904538
"eu","Europe","eunor","Norway","nor",20395929
"eu","Europe","eupol","Poland","pol",711508583
"eu","Europe","euprt","Portugal","prt",123929910
"eu","Europe","eurou","Romania","rou",581839915
"eu","Europe","eurus","Russia","rus",871664
"eu","Europe","eusmr","San Marino","smr",12
"eu","Europe","eusrb","Serbia","srb",29306624
"eu","Europe","eusvk","Slovakia","svk",101859782
"eu","Europe","eusvn","Slovenia","svn",84575823
"eu","Europe","euswe","Sweden","swe",88894229
"eu","Europe","euukr","Ukraine","ukr",8955638
"na","North America","naabw","Aruba","abw",216815
"na","North America","naatg","Antigua and Barbuda","atg",27588
"na","North America","nabes","Bonaire","bes",290471
"na","North America","nabhs","Bahamas","bhs",167919
"na","North America","nablm","Saint Barthélemy","blm",16829
"na","North America","nablz","Belize","blz",3167444.9999999995
"na","North America","nabmu","Bermuda","bmu",18078
"na","North America","nabrb","Barbados","brb",1234974
"na","North America","nacan","Canada","can",142013248
"na","North America","nacri","Costa Rica","cri",8147866
"na","North America","nacub","Cuba","cub",552395
"na","North America","nacuw","Curaçao","cuw",334512
"na","North America","nacym","Cayman Islands","cym",1922
"na","North America","nadma","Dominica","dma",311225
"na","North America","nadom","Dominican Republic","dom",5017376
"na","North America","nagrd","Grenada","grd",210959
"na","North America","nagrl","Greenland","grl",43963
"na","North America","nagtm","Guatemala","gtm",2808105
"na","North America","nahnd","Honduras","hnd",4635021
"na","North America","nahti","Haiti","hti",15207
"na","North America","najam","Jamaica","jam",190589
"na","North America","nakna","Saint Kitts and Nevis","kna",79671
"na","North America","nalca","Saint Lucia","lca",26508.000000000004
"na","North America","namaf","Saint Martin","maf",38370
"na","North America","namex","Mexico","mex",269953036
"na","North America","namsr","Montserrat","msr",832
"na","North America","nanic","Nicaragua","nic",1140035
"na","North America","napan","Panama","pan",3809433
"na","North America","naslv","El Salvador","slv",3745433
"na","North America","naspm","Saint Pierre and Miquelon","spm",29077
"na","North America","natto","Trinidad and Tobago","tto",6719
"na","North America","nausa","United States","usa",430449669
"na","North America","navct","Saint Vincent and the Grenadines","vct",432279
"na","North America","navgb","British Virgin Islands","vgb",2518
"oc","Oceania","ocasm","American Samoa","asm",39
"oc","Oceania","ocaus","Australia","aus",159599745
"oc","Oceania","occok","Cook Islands","cok",13112
"oc","Oceania","ocfji","Fiji","fji",1178265
"oc","Oceania","ocmhl","Marshall Islands","mhl",94722
"oc","Oceania","ocmnp","Northern Mariana Islands","mnp",108.00000000000001
"oc","Oceania","ocncl","New Caledonia","ncl",7091380
"oc","Oceania","ocnru","Nauru","nru",1205
"oc","Oceania","ocnzl","New Zealand","nzl",35436187
"oc","Oceania","ocpcn","Pitcairn Islands","pcn",1774
"oc","Oceania","ocplw","Palau","plw",1427
"oc","Oceania","ocpng","Papua New Guinea","png",2985533.0000000005
"oc","Oceania","ocpyf","French Polynesia","pyf",10708462
"oc","Oceania","octon","Tonga","ton",313
"oc","Oceania","ocvut","Vanuatu","vut",113871
"oc","Oceania","ocwlf","Wallis and Futuna","wlf",204508
"oc","Oceania","ocwsm","Samoa","wsm",22.000000000000004
"sa","South America","saarg","Argentina","arg",698614
"sa","South America","sabol","Bolivia","bol",180816
"sa","South America","sabra","Brazil","bra",59397788
"sa","South America","sachl","Chile","chl",147427153
"sa","South America","sacol","Colombia","col",30755376
"sa","South America","saecu","Ecuador","ecu",108566838
"sa","South America","saguy","Guyana","guy",1963515
"sa","South America","saper","Peru","per",34413340
"sa","South America","sapry","Paraguay","pry",8620095
"sa","South America","sasur","Suriname","sur",7781484
"sa","South America","saury","Uruguay","ury",24135270
"sa","South America","saven","Venezuela","ven",5795977.999999999
